id,name,country,hindex,citation
7147,"Bert Vogelstein",null,251,353864
7241,"Tom Maniatis",null,151,328997
7547,"Masatoshi Nei",null,120,307958
7142,"Shizuo Akira",null,262,307309
7283,"Robert Tibshirani",null,143,279547
7150,"Salim Yusuf",null,225,255974
7146,"Robert Langer",null,259,249158
7149,"Michael Karin",null,236,234287
7190,"David Botstein",null,174,209803
7152,"Matthias Mann",null,212,201310
7159,"Daniel Levy",null,205,192349
7154,"Guido Kroemer",null,211,190983
7153,"A S Fauci",null,210,186183
7851,"David Harvey",null,111,181898
7155,"Peter Libby",null,207,181667
7168,"Peer Bork",null,184,176731
7256,"David Haussler",null,150,161121
7176,"Yusuke Nakamura",null,179,159437
7178,"Leroy Hood",null,178,149332
7216,"Jiawei Han",null,160,148976
7167,"Joan Massague",null,182,147072
7578,"Richard Durbin",null,120,146228
7169,"Alberto Mantovani",null,180,146011
7191,"Jan Ake Gustafsson",null,171,143868
7231,"Chris Sander",null,154,139440
7237,"David Altshuler",null,153,139220
7702,"Jitendra Malik","United States of America",112,138404
7336,"Matthias Egger",null,136,137434
7366,"Stacey Gabriel",null,138,135382
7173,"Tony Hunter",null,179,132758
7192,"Luigi Ferrucci",null,171,132404
7348,"Paul Zimmet",null,136,130665
7182,"Joseph Schlessinger",null,176,125100
7205,"Jeffrey Cummings",null,164,123427
7183,"Ralph Weissleder",null,176,122597
7221,"Didier Raoult",null,161,120919
7203,"Hans Clevers",null,169,120139
7189,"Tomas Hökfelt",null,172,119497
7309,"Rob Knight",null,145,117645
7730,"Ewan Birney",null,113,117449
7212,"Zena Werb",null,163,115148
7437,"Panos Deloukas",null,131,114903
7247,"Markku Laakso",null,154,114553
7225,"Yi Cui",null,167,113905
7222,"Peter Carmeliet",null,160,112569
7232,"Carlo La Vecchia",null,152,109604
7439,"Akira Fujishima",null,126,109580
7304,"Josef Coresh",null,140,108362
7234,"Mark Gerstein",null,155,107207
7442,"Gad Getz",null,133,102690
7238,"Philippe Froguel",null,153,101493
7197,"Nahum Sonenberg",null,170,100324
7261,"Roberto Romero",null,147,98217
7403,"Joseph Loscalzo",null,131,97279
7184,"Joel Schwartz",null,174,97177
7262,"Jean Bousquet",null,147,97104
7945,"Dariush Mozaffarian",null,102,96033
7285,"Gabriel Nuñez",null,143,94503
7704,"Mary Cushman",null,112,94323
7250,"Joseph Wang",null,149,92805
7406,"Antonio Lanzavecchia",null,129,90236
7377,"Gérald Simonneau",null,132,90224
7268,"Jaakko Kaprio",null,146,90176
7264,"Robert Plomin",null,150,89743
7414,"Li Wei",null,132,89517
7324,"Helmut Sies",null,138,88807
7340,"Lei Li",null,147,87975
7325,"Philip Jones",null,139,87878
7443,"Yehuda Shoenfeld",null,126,87866
7429,"Shigekazu Nagata",null,128,87642
7269,"Giorgio Trinchieri",null,146,86204
7529,"Michael Boehnke",null,123,85797
7430,"Antonio Amorim",null,127,85641
7751,"Noboru Mizushima",null,110,85578
7233,"Bernard Moss",null,152,84670
7333,"Yang Yang","United States of America",137,84288
7276,"Frederik Barkhof",null,145,83426
7334,"Manel Esteller",null,138,83038
7277,"Bart Staels",null,145,82469
7530,"Pak Sham",null,121,82436
7496,"Tom Tyler",null,123,82054
7386,"Albert de la Chapelle",null,132,80942
7281,"Johan Auwerx",null,149,79980
7301,"George Perry",null,145,79274
7270,"Pier Paolo Pandolfi",null,147,79184
7387,"Bernard Henrissat",null,132,78910
7240,"Stanley Falkow",null,152,78727
7282,"Teruo Okano",null,144,78435
7707,"Oluf Pedersen",null,114,78382
7342,"Jie Yu",null,140,78323
7306,"Richard Mayeux",null,143,76919
7754,"Junying Yuan",null,111,76350
7776,"Vikas Bansal",null,113,75613
7532,"Shlomo Havlin",null,125,75012
7293,"Eduardo Salas",null,142,74365
7307,"Janet Rossant",null,140,74285
7990,"Beth Levine",null,101,74020
7344,"Pasko Rakic",null,139,73895
7801,"Jason Lee","United States of America",108,73826
7370,"Marc Feldmann",null,133,73585
