,id,name,affiliation,country,hindex,citation,url_picture
0,7566,Bernhard Schölkopf,"Director, Max Planck Institute for Intelligent Systems; and Distinguished Amazon Scholar",,123,118860,/scholar/images/cleardot.gif
1,7731,Yoshua Bengio,"Professor, U. Montreal (Computer Sc. & Op. Res.), MILA, CIFAR, CRM, REPARTI, GRSNC",Canada,123,133258,/scholar/images/cleardot.gif
2,7375,Christof Koch,Chief Scientist and President,United States,137,111068,/scholar/images/cleardot.gif
3,7671,Shankar Sastry,University of California,United States,114,98569,/citations/images/avatar_scholar_128.png
4,7340,Lei Li,"Duke University, CERN",Switzerland,150,114494,/citations?view_op=view_photo&user=f4KlrXIAAAAJ&citpid=2
5,7331,Sebastian Thrun,Stanford,United States,139,91764,/citations?view_op=view_photo&user=7K34d7cAAAAJ&citpid=2
6,7333,Yang Yang,Seoul National Univesity,,189,187399,/scholar/images/cleardot.gif
7,7408,Wolf Singer,"Professor für Neuroscience, Max Planck Institute",Germany,130,79841,/citations/images/avatar_scholar_128.png
8,7517,Didier Dubois,chercheur au CNRS,France,124,76968,/citations/images/avatar_scholar_128.png
9,7610,Christos Faloutsos,CMU,United States,121,77768,/scholar/images/cleardot.gif
10,7584,Henri Prade,"CNRS, France and University of Technology Sydney",France,120,74452,/citations?view_op=view_photo&user=Hw_xpykAAAAJ&citpid=2
11,7520,Stephen Grossberg,"Wang Professor of Cognitive and Neural Systems, Boston University",United States,124,72584,/scholar/images/cleardot.gif
12,7625,Rajkumar Buyya,"CLOUDS Lab, School of Computing and Information Systems, University of Melbourne, Australia",Australia,119,75264,/scholar/images/cleardot.gif
13,7833,Jürgen Kurths,"Professor of Physics, Humboldt University Berlin",Germany,108,66248,/scholar/images/cleardot.gif
14,7541,Francisco Herrera,"Professor of Computer Science and Artificial Intelligence, Granada University",Spain,126,63866,/scholar/images/cleardot.gif
15,7594,Gert Pfurtscheller,"Emeritus Professor of Medical Informatics, Graz University of Technology",Austria,119,60660,/citations/images/avatar_scholar_128.png
16,111703,a besir kurtulmus,Algorithmia Research,,1,2,/citations?view_op=view_photo&user=vtnObvAAAAAJ&citpid=1
17,111778,aissam outchakoucht,"Ph.D Student, Hassan II university",,2,11,/scholar/images/cleardot.gif
18,111915,alfonso gonzalezbriones,"IoT Digital Innovation Hub, University of Salamanca  (http://orcid.org/0000-0002-3444-4393)",,8,136,/scholar/images/cleardot.gif
19,111951,alun david preece,,,-1,-1,
20,111990,anan liu,,,-1,-1,
21,112081,anna epishkina,,,-1,-1,
22,112166,arpita nayak,,,-1,-1,
23,112196,assadaporn sapsomboon,,,-1,-1,
24,112223,avi garg,,,-1,-1,
25,112242,baoping yan,,,-1,-1,
26,112347,bo xing,"Systems Analysis Scientist, Association of Universities for Research in Astronomy",United States,53,8928,/scholar/images/cleardot.gif
27,112377,butian huang,,,-1,-1,
28,112408,camille marini,"Owkin, Nantes - Paris, France",France,4,89,/citations/images/avatar_scholar_128.png
29,112504,chaojing tang,,,-1,-1,
30,112586,christian s perone,École Polytechnique Montréal,Canada,4,152,/citations?view_op=view_photo&user=EQbv0qkAAAAJ&citpid=3
31,112640,claudio soriente,NEC Labs,United States,25,2241,/scholar/images/cleardot.gif
32,112710,damian gruber,,,-1,-1,
33,112809,dayin liao,Unknown affiliation,,14,645,/citations?view_op=view_photo&user=c-74mDQAAAAJ&citpid=4
34,112849,diego carvalho viana,Doutorando em Anatomia dos Animais Domésticos e Silvestres,,7,133,/scholar/images/cleardot.gif
35,112855,dinesh c verma,,,-1,-1,
36,112886,dmitry ermilov,,,-1,-1,
37,112900,dong wang,Beijing Jiaotong University,China,67,24549,/citations/images/avatar_scholar_128.png
38,112901,dong zheng,"Professor, School of Medicine and Public Health, University of Newcastle, Australia",Australia,49,14190,/scholar/images/cleardot.gif
39,113136,farhana hanim mohsin,Universiti Tunku Abdul Rahman,Malaysia,1,3,/citations/images/avatar_scholar_128.png
40,113169,feng zhang,Senior Research Engineer at GE GRC,,110,73290,/scholar/images/cleardot.gif
41,113231,francesca pick,,,-1,-1,
42,113235,francesco parino,University of Palermo,Germany,17,859,/citations/images/avatar_scholar_128.png
43,113464,guanggang geng,Chinese Academy of Sciences,China,9,342,/scholar/images/cleardot.gif
44,113504,h b a steens,,,-1,-1,
45,113517,hamza essamaali,,,-1,-1,
46,113586,henner gimpel,"University of Augsburg, Germany",Germany,14,629,/scholar/images/cleardot.gif
47,113580,hiroki matsutani,"Dept of ICS, Keio University",Japan,20,1512,/citations/images/avatar_scholar_128.png
48,113628,hong ouyang,"Professor of Regenerative Medcine, Zhejiang University",China,44,6609,/citations?view_op=view_photo&user=aTxeqXIAAAAJ&citpid=2
49,113632,hongyan kang,,,-1,-1,
50,113702,ian j taylor,,,-1,-1,
51,113695,igor ryabchikov,,,-1,-1,
52,113715,ilarion pavel,,,-1,-1,
53,113824,jake billings,Rensselaer Polytechnic Institute,United States,0,0,/citations?view_op=view_photo&user=-cK7xPIAAAAJ&citpid=1
54,113878,javier prieto,University of Salamanca,Spain,15,596,/scholar/images/cleardot.gif
55,113885,jean philippe leroy,,,-1,-1,
56,113965,jiakui zhao,,,-1,-1,
57,113991,jianhai chen,,,-1,-1,
58,114196,joseph y halpern,,,-1,-1,
59,114179,josh pang,,,-1,-1,
60,114228,juan m corchado,"Professor of Computer Science, IoT Digital Innovation Hub, University of Salamanca",Spain,71,17532,/scholar/images/cleardot.gif
61,114239,juliana abu bakar,School of Creative Industry Management & Performing Arts,United States,5,68,/scholar/images/cleardot.gif
62,114341,kaustubh dutta,"Research Scholar, Jadavpur University",India,1,6,/citations?view_op=view_photo&user=SiDxHmkAAAAJ&citpid=2
63,114376,kenny daniel,"Graduate Student, University of Southern California",United States,6,687,/scholar/images/cleardot.gif
64,114424,khaled riad,"King Khalid University Hospital, King Saud University, Riyadh, Saudi Arabia.      Montreal General",Canada,18,994,/scholar/images/cleardot.gif
65,114442,kohei nakamura,Gifu University,Japan,26,2748,/scholar/images/cleardot.gif
66,114496,laetitia gauvin,"Researcher, ISI Foundation",Afghanistan,7,316,/citations/images/avatar_scholar_128.png
67,114563,lei zhang,"Chair Professor, Dept. of Computing, The Hong Kong Polytechnic University",Hong Kong,91,36024,/scholar/images/cleardot.gif
68,114572,li da xu,"Doctoral student of Neurosurgery, Universität Leipzig",Germany,14,733,/citations/images/avatar_scholar_128.png
69,114858,mariano g beiro,"Associate Researcher, CONICET",Argentina,5,166,/citations?view_op=view_photo&user=f9WybS0AAAAJ&citpid=1
70,114973,mathieu n galtier,,,-1,-1,
71,115019,maxim panov,"Research Scientist, Skolkovo Institute of Science and Technology",Russia,6,91,/scholar/images/cleardot.gif
72,115062,maximilian roglinger,,,-1,-1,
73,115168,min liu,Nanjing University,China,54,34935,/citations?view_op=view_photo&user=qexey-UAAAAJ&citpid=2
74,115216,monika dutt,,,-1,-1,
75,115340,nick gogerty,,,-1,-1,
76,115428,nirmit desai,IBM Research,United States,21,1521,/citations?view_op=view_photo&user=JNPLMVEAAAAJ&citpid=2
77,115436,norhayati md isa,"Lecturer of Business Management, Universiti Tunku Abdul Rahman",Malaysia,1,2,/citations/images/avatar_scholar_128.png
78,115542,p kathrani,,,-1,-1,
79,115698,pingfei zhu,"Associate Professor,  School of Computer Science and Technology , Tianjin University",China,16,1109,/scholar/images/cleardot.gif
80,115768,qinming he,,,-1,-1,
81,115816,rajdeep chatterjee,"Associate Professor of Physics, IIT Roorkee",India,4,119,/citations/images/avatar_scholar_128.png
82,115950,rishav chatterjee,,,-1,-1,
83,115982,robert h deng,Singapore Management University,Singapore,57,12763,/scholar/images/cleardot.gif
84,116011,rongquan feng,,,-1,-1,
85,116095,sakshi valecha,,,-1,-1,
86,116220,sergey zapechnikov,,,-1,-1,
87,116286,shengwen bao,,,-1,-1,
88,116295,shin morishima,,,-1,-1,
89,116316,shintaro mori,Hirosaki  University,Japan,10,316,/scholar/images/cleardot.gif
90,116342,shreya maji,,,-1,-1,
91,116334,siddhi velankar,,,-1,-1,
92,116371,siti rohaya mat rahim,Lecturer,Turkey,3,45,/citations?view_op=view_photo&user=3g4dq4MAAAAJ&citpid=15
93,116377,somdip dey,"School of Computer Science and Electronic Engineering, University of Essex",United States,11,370,/scholar/images/cleardot.gif
94,116433,srdjan marinovic,,,-1,-1,
95,116615,thodoros topologlou,,,-1,-1,
96,116639,thomas e doyle,McMaster University,Canada,8,183,/scholar/images/cleardot.gif
97,116729,tshilidzi marwala,"Professor of Artificial Intelligence, University of Johannesburg",South Africa,33,5114,/scholar/images/cleardot.gif
98,116884,w dilger,,,-1,-1,
99,116901,wattana viryasitavat,,,-1,-1,
Count,58,,58,50,58,58,58
Rate,0.58,,0.58,0.5,0.58,0.58,0.58
