,id,name,affiliation,country,hindex,citation,url_picture
0,111682,a a karpunin,,,-1,-1,
1,111702,a b korchagin,,,-1,-1,
2,111683,a berlee,Molengraaff Instituut voor Privaatrecht,,2,15,/citations/images/avatar_scholar_128.png
3,111703,a besir kurtulmus,Algorithmia Research,,1,2,/citations?view_op=view_photo&user=vtnObvAAAAAJ&citpid=1
4,111684,a de boer,"Professor in Cardiology, University of Groningen, the Netherlands",Germany,60,13396,/citations?view_op=view_photo&user=-Rd16sUAAAAJ&citpid=2
5,111704,a e voronkov,,,-1,-1,
6,111685,a goriacheva,,,-1,-1,
7,111705,a i bubel,,,-1,-1,
8,111686,a i vlasov,,,-1,-1,
9,111706,a ilker kocatepe,,,-1,-1,
10,111687,a j lockley,,,-1,-1,
11,111707,a k l mastenbroek,,,-1,-1,
12,111688,a kaklauskas,"Professor of Informatics, Civil Engineering, Management, Economics, Vilnius Gediminas technical",Lithuania,39,5754,/scholar/images/cleardot.gif
13,111708,a kryukov,Postdoc in Physics at the UNAM,,4,34,/citations/images/avatar_scholar_128.png
14,111689,a lanko,,,-1,-1,
15,111709,a navya,Research officer in Speech Language Pathology,United States,1,1,/citations?view_op=view_photo&user=WRysrQwAAAAJ&citpid=1
16,111690,a nekrasenko,,,-1,-1,
17,111710,a nunez mencias,,,-1,-1,
18,111691,a p demichev,,,-1,-1,
19,111711,a pinar ozisik,,,-1,-1,
20,111692,a r lodder,"Professor of Internet Governance and Regulation, VU University Amsterdam",Netherlands,17,1365,/scholar/images/cleardot.gif
21,111712,a s orobinskiy,,,-1,-1,
22,111693,a s tuzovskiy,,,-1,-1,
23,111694,a selcuk uluagac,Florida International University,Germany,15,656,/scholar/images/cleardot.gif
24,111714,a sill,Texas Tech University,United States,128,87668,/scholar/images/cleardot.gif
25,111695,a umamakeswari,"Professor of Oral Medicine and Radiology, Saveetha University",India,9,191,/scholar/images/cleardot.gif
26,111715,a v andreeva,Unknown affiliation,,24,1530,/citations/images/avatar_scholar_128.png
27,111696,a v chugunov,,,-1,-1,
28,111716,a v domashev,,,-1,-1,
29,111697,a v klechikov,,,-1,-1,
30,111698,a v vorobyev,,,-1,-1,
31,111718,a yu shcherbakov,,,-1,-1,
32,111719,aafaf ouaddah,,,-1,-1,
33,111700,aarni heiskanen,,,-1,-1,
34,111720,aaron fernstrom,,,-1,-1,
35,111721,aaron m french,"VISION team, ISEN-Brest, France",France,7,161,/scholar/images/cleardot.gif
36,111722,aaron wright,"Senior Scientist, Pacific Northwest National Laboratory",United States,20,2389,/citations/images/avatar_scholar_128.png
37,111742,aashaka shah,,,-1,-1,
38,111743,abdallah miladi,,,-1,-1,
39,111724,abdallah zoubir ourad,,,-1,-1,
40,111744,abdellah ait ouahman,,,-1,-1,
41,111725,abdellah ouaguid,High National School of Electricity and Mechanics,United Kingdom,1,1,/citations?view_op=view_photo&user=QTE4pGcAAAAJ&citpid=1
42,111745,abdelmadjid bouabdallah,,,-1,-1,
43,111726,abdelouahid derhab,"Assistant Professor of Computer Science, King Saud University",Indonesia,12,690,/scholar/images/cleardot.gif
44,111746,abdul ghafoor abbasi,RISE Acreo ICT,,9,250,/scholar/images/cleardot.gif
45,111727,abdul quadir,Teacher Educator,Slovakia,24,2265,/citations?view_op=view_photo&user=AVSpXvYAAAAJ&citpid=1
46,111747,abdullah al omar,"Researcher, KACST",,1,19,/citations/images/avatar_scholar_128.png
47,111728,abelardo arredondo,,,-1,-1,
48,111748,abhi shelat,,,-1,-1,
49,111729,abhiraj singh,Undergrad at IIT Roorkee,,0,0,/citations?view_op=view_photo&user=Vt0Ruv8AAAAJ&citpid=1
50,111749,abhishek dubey,"Program Officer-II, Population Council",United States,53,15839,/citations?view_op=view_photo&user=4RPSuI0AAAAJ&citpid=2
51,111730,abigail entwistle,,,-1,-1,
52,111731,abraham bez surez,,,-1,-1,
53,111751,achsah mary marks,,,-1,-1,
54,111732,adalberto elias,,,-1,-1,
55,111752,adam abdullah,Senior Lecturer of University Malaysia Pahang,,13,569,/scholar/images/cleardot.gif
56,111733,adam brinckman,,,-1,-1,
57,111753,adam cecchetti,,,-1,-1,
58,111734,adam croom,University of Pennsylvania,United States,12,553,/scholar/images/cleardot.gif
59,111754,adam ernest,University of Teesside,United Kingdom,6,2546,/citations?view_op=view_photo&user=4MeIJ_EAAAAJ&citpid=2
60,111735,adam hahn,"Professor of Computer Science, Washington State University",United States,12,2155,/citations/images/avatar_scholar_128.png
61,111755,adam hayes,University of Wisconsin-Madison,United States,4,126,/scholar/images/cleardot.gif
62,111736,adam hemlin billstrom,,,-1,-1,
63,111737,adam jatowt,Associate Professor at Kyoto University,India,22,1686,/scholar/images/cleardot.gif
64,111757,adam johnson,"Professor of Chemistry, Harvey Mudd College",United States,15,897,/scholar/images/cleardot.gif
65,111738,adam krellenstein,,,-1,-1,
66,111758,adan sanchez de pedro crespo,"Chief Technology Officer, Stampery Inc.",,1,3,/citations?view_op=view_photo&user=OW2wlqcAAAAJ&citpid=3
67,111739,adegboyega ojo,"Senior Research Fellow, Insight Centre for Data Analytics, National University of Ireland, Galway",Ireland,17,1138,/scholar/images/cleardot.gif
68,111759,adel elmessiry,,,-1,-1,
69,111740,adele botha,Chief Researcher CSIR Meraka,,15,716,/scholar/images/cleardot.gif
70,111760,adem efe gencer,"PhD, Computer Science, Cornell University",United States,5,567,/scholar/images/cleardot.gif
71,111741,adi benari,,,-1,-1,
72,111761,aditya asgaonkar,,,-1,-1,
73,111762,adnan imeri,Luxembourg Institute of Science and Technology,Germany,1,5,/citations/images/avatar_scholar_128.png
74,111782,adrian burlacu,"""Gheorghe Asachi""  Technical University of Iasi",Romania,11,327,/scholar/images/cleardot.gif
75,111763,adrian e coronado mondragon,Unknown affiliation,,14,699,/citations/images/avatar_scholar_128.png
76,111783,adrian hoppe,,,-1,-1,
77,111764,adrian paschke,"Professor of Computer Science, Freie Universitaet Berlin",Germany,28,2620,/scholar/images/cleardot.gif
78,111784,adrian v gheorghe,,,-1,-1,
79,111765,adriano albuquerque,Embrapa,Brazil,5,33,/scholar/images/cleardot.gif
80,111785,adriantudor panescu,,,-1,-1,
81,111766,adriatik nikaj,,,-1,-1,
82,111786,advait deshpande,Unknown affiliation,,3,27,/citations?view_op=view_photo&user=eTOBQzgAAAAJ&citpid=3
83,111767,afandi nur laila,,,-1,-1,
84,111768,aggelos kiayias,University of Edinburgh & IOHK,,36,4568,/citations/images/avatar_scholar_128.png
85,111788,agniva banerjee,,,-1,-1,
86,111769,agostino cortesi,Università Ca Foscari Venezia,,25,2036,/scholar/images/cleardot.gif
87,111789,agustin isasa cuartero,,,-1,-1,
88,111770,ahmad f taha,"Electrical and Computer Engineering, University of Texas at San Antonio",United States,7,166,/scholar/images/cleardot.gif
89,111790,ahmadreza sadeghi,"Professur für IT-Sicherheit, Technische Universität Darmstadt",Germany,63,14874,/scholar/images/cleardot.gif
90,111771,ahmed alketbi,,,-1,-1,
91,111791,ahmed banafa,,,-1,-1,
92,111772,ahmed ben ayed,McGill University (Postdoctoral Fellow),Canada,6,141,/scholar/images/cleardot.gif
93,111792,ahmed e kosba,,,-1,-1,
94,111773,ahmed gomaa,"Emeritus Professor, Department of Food Hygiene , Faculty of Veterinary Medicine, Assiut University",Egypt,9,396,/citations?view_op=view_photo&user=gLgTdkAAAAAJ&citpid=2
95,111793,ahmed serhrouchni,Professeur Réseaux&Télécommunication et Sécurité,,15,1207,/scholar/images/cleardot.gif
96,111774,ahmed tidjani,"Osun State University, Osogbo, Nigeria",,5,61,/citations?view_op=view_photo&user=J1xWHQsAAAAJ&citpid=2
97,111794,ahmet m kondoz,,,-1,-1,
98,111775,ahrash aleshi,,,-1,-1,
99,111795,ai deng,"Chief AI Officer, Citadel",Germany,83,31884,/scholar/images/cleardot.gif
Count,46,,46,30,46,46,46
Rate,0.46,,0.46,0.3,0.46,0.46,0.46
