,id,name,affiliation,country,hindex,citation,url_picture
0,7670,Trevor Hastie,"Professor of Statistics, Stanford University",United States,115,179434,/scholar/images/cleardot.gif
1,7323,Andrew Zisserman,University of Oxford,United Kingdom,143,143805,/scholar/images/cleardot.gif
2,7229,Robert Black,Johns Hopkins Bloomberg School of Public Health,United States,155,102523,/scholar/images/cleardot.gif
3,7397,Bart De Moor,KU Leuven ESAT-Stadius,,133,98691,/scholar/images/cleardot.gif
4,7362,Richard Cavanaugh,"Associate Professor of Physics and Scientist I, University of Illinois Chicago and Fermilab",United States,137,103299,/citations?view_op=view_photo&user=lmJqEo4AAAAJ&citpid=4
5,7333,Yang Yang,Seoul National Univesity,,189,187399,/scholar/images/cleardot.gif
6,7830,Vipin Kumar,University of Minnesota,United States,106,85745,/scholar/images/cleardot.gif
7,7644,Ben Shneiderman,"Professor of Computer Science, University of Maryland",United States,117,77564,/scholar/images/cleardot.gif
8,7989,Cordelia Schmid,Research director INRIA ,France,104,81098,/scholar/images/cleardot.gif
9,7610,Christos Faloutsos,CMU,United States,121,77768,/scholar/images/cleardot.gif
10,7584,Henri Prade,"CNRS, France and University of Technology Sydney",France,120,74452,/citations?view_op=view_photo&user=Hw_xpykAAAAJ&citpid=2
11,7520,Stephen Grossberg,"Wang Professor of Cognitive and Neural Systems, Boston University",United States,124,72584,/scholar/images/cleardot.gif
12,7832,Peter Sandercock,university of Edinburgh,United Kingdom,109,73697,/scholar/images/cleardot.gif
13,7833,Jürgen Kurths,"Professor of Physics, Humboldt University Berlin",Germany,108,66248,/scholar/images/cleardot.gif
14,7889,Baruch Fischhoff,"Howard Heinz University Professor, Carnegie Mellon University",United States,107,65713,/citations?view_op=view_photo&user=GxvFzdcAAAAJ&citpid=2
15,7541,Francisco Herrera,"Professor of Computer Science and Artificial Intelligence, Granada University",Spain,126,63866,/scholar/images/cleardot.gif
16,7892,Andrew Smith,Unknown affiliation,,106,59103,/citations/images/avatar_scholar_128.png
17,7916,Rama Chellappa,"Professor, ECE, Affiliate Professor, CS, UMD, College Park",United States,107,58827,/scholar/images/cleardot.gif
18,7689,Ara Darzi,Professor of Surgery,United States,117,59197,/citations/images/avatar_scholar_128.png
19,7739,Didier Pittet,The University of Geneva Hospitals / Faculty Medicine,Switzerland,113,54003,/citations/images/avatar_scholar_128.png
20,111716,a v domashev,,,-1,-1,
21,111718,a yu shcherbakov,,,-1,-1,
22,111743,abdallah miladi,,,-1,-1,
23,111766,adriatik nikaj,,,-1,-1,
24,111774,ahmed tidjani,"Osun State University, Osogbo, Nigeria",,5,61,/citations?view_op=view_photo&user=J1xWHQsAAAAJ&citpid=2
25,111778,aissam outchakoucht,"Ph.D Student, Hassan II university",,2,11,/scholar/images/cleardot.gif
26,111798,ajay kumar shrestha,,,-1,-1,
27,111805,akshay sehgal,,,-1,-1,
28,111817,aleksandar arsov,,,-1,-1,
29,111862,alessandro margara,Assistant Professor at Politecnico di Milano,Russia,19,1835,/scholar/images/cleardot.gif
30,111844,alessandro n baccarini,,,-1,-1,
31,111866,alevtina dubovitskaya,"HES-SO Valais, EPFL",Switzerland,4,50,/scholar/images/cleardot.gif
32,111868,alex green,"The Biodesign Institute, Arizona State University",United States,37,7682,/citations?view_op=view_photo&user=8zJRDjkAAAAJ&citpid=4
