,id,name,affiliation,country,hindex,citation,url_picture
0,7333,Yang Yang,Seoul National Univesity,,189,187399,/scholar/images/cleardot.gif
1,7397,Bart De Moor,KU Leuven ESAT-Stadius,,133,98691,/scholar/images/cleardot.gif
2,7520,Stephen Grossberg,"Wang Professor of Cognitive and Neural Systems, Boston University",United States,124,72584,/scholar/images/cleardot.gif
3,7361,Peter Hall,University of Melbourne,Australia,136,94698,/citations/images/avatar_scholar_128.png
4,7517,Didier Dubois,chercheur au CNRS,France,124,76968,/citations/images/avatar_scholar_128.png
5,7590,Martin McKee,"Professor of European Public Health, London School of Hygiene and Tropical Medicine",United Kingdom,120,70024,/scholar/images/cleardot.gif
6,7840,Hisashi Yamamoto,"Chubu Univ, Univ of Chicago, Nagoya Univ, Univ of Hawaii, Kyoto Univ, Harvard Univ",China,114,58136,/scholar/images/cleardot.gif
7,7886,Kalyanmoy Deb,"Koenig Endowed Chair Professor, Electrical and Computer Engineering, Michigan State University",United States,110,117188,/scholar/images/cleardot.gif
8,7323,Andrew Zisserman,University of Oxford,United Kingdom,143,143805,/scholar/images/cleardot.gif
9,7731,Yoshua Bengio,"Professor, U. Montreal (Computer Sc. & Op. Res.), MILA, CIFAR, CRM, REPARTI, GRSNC",Canada,123,133258,/scholar/images/cleardot.gif
10,7610,Christos Faloutsos,CMU,United States,121,77768,/scholar/images/cleardot.gif
11,7841,Yves Van De Peer,"Professor in Bioinformatics and Genome Biology, Ghent University, Belgium",Belgium,108,55395,/scholar/images/cleardot.gif
12,7670,Trevor Hastie,"Professor of Statistics, Stanford University",United States,115,179434,/scholar/images/cleardot.gif
13,7994,Trevor Darrell,"Professor of Computer Science, U.C. Berkeley",United States,107,67348,/citations?view_op=view_photo&user=bh-uRFMAAAAJ&citpid=3
14,7594,Gert Pfurtscheller,"Emeritus Professor of Medical Informatics, Graz University of Technology",Austria,119,60660,/citations/images/avatar_scholar_128.png
15,7408,Wolf Singer,"Professor für Neuroscience, Max Planck Institute",Germany,130,79841,/citations/images/avatar_scholar_128.png
16,111778,aissam outchakoucht,"Ph.D Student, Hassan II university",,2,11,/scholar/images/cleardot.gif
17,113517,hamza essamaali,,,-1,-1,
18,113885,jean philippe leroy,,,-1,-1,
19,112196,assadaporn sapsomboon,,,-1,-1,
20,113235,francesco parino,University of Palermo,Germany,17,859,/citations/images/avatar_scholar_128.png
21,114424,khaled riad,"King Khalid University Hospital, King Saud University, Riyadh, Saudi Arabia.      Montreal General",Canada,18,994,/scholar/images/cleardot.gif
22,114496,laetitia gauvin,"Researcher, ISI Foundation",Afghanistan,7,316,/citations/images/avatar_scholar_128.png
23,114572,li da xu,"Doctoral student of Neurosurgery, Universität Leipzig",Germany,14,733,/citations/images/avatar_scholar_128.png
24,114858,mariano g beiro,"Associate Researcher, CONICET",Argentina,5,166,/citations?view_op=view_photo&user=f9WybS0AAAAJ&citpid=1
25,116011,rongquan feng,,,-1,-1,
26,116884,w dilger,,,-1,-1,
27,116901,wattana viryasitavat,,,-1,-1,
28,117320,zhuming m bi,,,-1,-1,
29,112166,arpita nayak,,,-1,-1,
30,112886,dmitry ermilov,,,-1,-1,
31,112900,dong wang,Beijing Jiaotong University,China,67,24549,/citations/images/avatar_scholar_128.png
32,113169,feng zhang,Senior Research Engineer at GE GRC,,110,73290,/scholar/images/cleardot.gif
33,113628,hong ouyang,"Professor of Regenerative Medcine, Zhejiang University",China,44,6609,/citations?view_op=view_photo&user=aTxeqXIAAAAJ&citpid=2
34,113965,jiakui zhao,,,-1,-1,
35,114341,kaustubh dutta,"Research Scholar, Jadavpur University",India,1,6,/citations?view_op=view_photo&user=SiDxHmkAAAAJ&citpid=2
36,115019,maxim panov,"Research Scientist, Skolkovo Institute of Science and Technology",Russia,6,91,/scholar/images/cleardot.gif
37,115168,min liu,Nanjing University,China,54,34935,/citations?view_op=view_photo&user=qexey-UAAAAJ&citpid=2
38,115698,pingfei zhu,"Associate Professor,  School of Computer Science and Technology , Tianjin University",China,16,1109,/scholar/images/cleardot.gif
